"datetime_UTC","datetime_MST","value","RANGE","NEGATIVE","SPIKE","FLAT","REMOVAL","DO_SPIKE","BUBBLE","PAR_NIGHT","reason","ANY_FLAG","variable"
2025-07-22 08:40:00,2025-07-22 02:40:00,3.76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-07-22 08:50:00,2025-07-22 02:50:00,3.988,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-07-22 09:00:00,2025-07-22 03:00:00,4.22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-07-22 09:10:00,2025-07-22 03:10:00,4.423,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-07-22 09:20:00,2025-07-22 03:20:00,4.553,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-07-22 09:30:00,2025-07-22 03:30:00,4.974,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-07-22 09:40:00,2025-07-22 03:40:00,4.994,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-07-22 09:50:00,2025-07-22 03:50:00,5.252,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-07-22 10:00:00,2025-07-22 04:00:00,5.538,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-07-22 10:10:00,2025-07-22 04:10:00,5.787,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-07-22 10:20:00,2025-07-22 04:20:00,6.107,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-07-22 10:30:00,2025-07-22 04:30:00,6.402,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-07-22 10:40:00,2025-07-22 04:40:00,6.606,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-02 08:20:00,2025-08-02 02:20:00,1.275,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"Spike > threshold; DO sudden change; DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-02 08:30:00,2025-08-02 02:30:00,1.512,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-02 08:40:00,2025-08-02 02:40:00,1.913,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-02 08:50:00,2025-08-02 02:50:00,2.576,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-02 09:00:00,2025-08-02 03:00:00,3.081,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-02 09:10:00,2025-08-02 03:10:00,3.441,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-02 09:20:00,2025-08-02 03:20:00,3.794,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-02 09:30:00,2025-08-02 03:30:00,4.109,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-02 09:40:00,2025-08-02 03:40:00,4.539,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
