"datetime","do_mgl_1m","do_sat_1m","do_mgl_14m","do_sat_14m","par_9m","temp_1m","temp_2m","temp_4m","temp_5m","temp_6m","temp_7m","temp_8m","temp_9m","temp_10m","temp_11m","temp_12m","temp_13m","temp_14m","atm_pressure_mbar","par_surface","temp_air","RH","wind_speed","gust_speed","wind_dir"
"2025-08-28 17:20:00",7.911,110.471716626708,0.045,0.52212682295775,27.2,15.067,15.2347222222222,15.2347222222222,15.1872222222222,15.1872222222222,15.1872222222222,13.7980555555556,11.25,10.2588888888889,8.87888888888889,8.28222222222222,7.78222222222222,7.18,725.553972446727,1096.2,53.915,79.55,4.47,8.21,329.9
"2025-08-28 17:30:00",8.011,111.811045392553,0.044,0.510050679758986,21.8,15.076,15.2822222222222,15.2822222222222,15.1872222222222,15.1872222222222,15.1872222222222,13.8300925925926,11.233,10.2425925925926,8.87888888888889,8.28222222222222,7.78222222222222,7.171,726.05619548794,563.7,54.3,81.537,4.47,11.95,355.2
"2025-08-28 17:40:00",7.926,110.667420333298,0.044,0.509839978170124,25.7,15.101,15.2822222222222,15.2822222222222,15.1872222222222,15.1872222222222,15.1872222222222,13.7660185185185,11.233,10.1774074074074,8.87888888888889,8.28222222222222,7.78222222222222,7.161,726.172350742848,338.7,54.88,78.318,3.74,7.47,11.2
"2025-08-28 17:50:00",7.89,110.098646762845,0.044,0.509814582164953,21.5,15.076,15.2822222222222,15.2822222222222,15.1872222222222,15.1872222222222,15.1872222222222,13.75,11.224,10.1611111111111,8.82888888888889,8.28222222222222,7.78222222222222,7.161,726.20802078803,201.2,52.641,84.956,3.74,8.21,355.2
"2025-08-28 18:00:00",7.894,110.11265344732,0.044,0.50995089747405,20.2,15.058,15.2663888888889,15.2663888888889,15.1872222222222,15.1872222222222,15.1872222222222,13.75,11.25,10.1611111111111,8.79555555555556,8.28222222222222,7.78222222222222,7.171,726.196283482971,253.7,52.216,85.061,4.47,8.97,352.4
"2025-08-28 18:10:00",7.875,109.878094077101,0.044,0.510006048628993,8.6,15.076,15.2030555555556,15.2030555555556,15.1872222222222,15.1872222222222,15.1872222222222,13.75,11.304,10.1611111111111,8.86222222222222,8.28222222222222,7.78222222222222,7.18,726.280554810099,113.7,51.636,87.659,5.23,8.21,348.2
"2025-08-28 18:20:00",7.845,109.446029739491,0.046,0.533123115424767,3,15.076,15.1391666666667,15.1872222222222,15.1391666666667,15.1391666666667,15.1391666666667,13.75,11.322,10.1611111111111,8.87888888888889,8.28222222222222,7.78222222222222,7.18,726.367906197065,51.2,51.289,85.611,3.74,6.73,352.4
"2025-08-28 18:30:00",7.873,109.809829558904,0.045,0.52149414801368,2.7,15.058,15.0911111111111,15.1872222222222,15.0911111111111,15.0911111111111,15.1071296296296,13.7339814814815,11.349,10.1611111111111,8.87888888888889,8.28222222222222,7.76555555555556,7.171,726.260192459824,31.2,50.904,85.798,1.5,4.47,336.9
"2025-08-28 18:40:00",7.837,109.23695392914,0.044,0.509600490189202,2.1,15.033,15.0911111111111,15.1872222222222,15.0911111111111,15.0911111111111,15.1712037037037,13.6699074074074,11.358,10.1611111111111,8.87888888888889,8.28222222222222,7.69888888888889,7.151,726.329074035619,61.2,49.899,88.679,1.5,4.47,12.6
"2025-08-28 18:50:00",7.824,109.032307655176,0.044,0.509592017443421,3.6,15.024,15.0911111111111,15.1872222222222,15.0911111111111,15.1391666666667,15.1872222222222,13.6538888888889,11.286,10.1119444444444,8.92833333333333,8.28222222222222,7.68222222222222,7.151,726.340982378214,133.7,50.324,84.372,2.24,7.47,195.1
"2025-08-28 19:00:00",7.916,110.408932421339,0.045,0.521513616015979,10.6,15.033,15.0911111111111,15.1872222222222,15.0911111111111,15.1872222222222,15.1872222222222,13.6859259259259,11.268,10.0627777777778,8.97777777777778,8.28222222222222,7.68222222222222,7.151,725.874084966948,346.2,51.211,80.392,2.24,5.23,313.1
"2025-08-28 19:10:00",7.888,109.900739708725,0.044,0.509558201704359,9.5,15.007,15.0911111111111,15.1872222222222,15.0911111111111,15.1872222222222,15.1872222222222,13.8140740740741,11.286,10.0627777777778,8.97777777777778,8.28222222222222,7.68222222222222,7.142,726.226697306993,266.2,49.707,82.948,3.74,8.21,11.2
"2025-08-28 19:20:00",7.911,110.169863786833,0.045,0.520870243197863,3.4,14.998,15.0911111111111,15.1872222222222,15.0911111111111,15.1391666666667,15.1872222222222,13.8941666666667,11.295,10.0627777777778,8.97777777777778,8.28222222222222,7.68222222222222,7.132,726.416423659547,88.7,49.437,85.977,3.74,8.97,18.3
"2025-08-28 19:30:00",7.882,109.775251210034,0.045,0.520472121009191,3.9,15.015,15.0911111111111,15.1712037037037,15.0911111111111,15.0911111111111,15.1712037037037,13.9422222222222,11.259,10.0791666666667,8.96129629629629,8.26555555555556,7.68222222222222,7.113,726.622372635791,48.7,49.744,85.223,3.74,8.21,327.1
"2025-08-28 19:40:00",7.887,109.818278438793,0.044,0.509115664650276,1.5,15.007,15.0911111111111,15.1071296296296,15.0911111111111,15.0911111111111,15.1071296296296,13.9422222222222,11.206,10.1447222222222,8.89537037037037,8.19888888888889,7.68222222222222,7.132,726.669239499197,31.2,47.97,90.849,5.23,9.71,353.8
"2025-08-28 19:50:00",7.841,109.179636227919,0.045,0.520943694533124,1.2,15.007,15.0436111111111,15.0911111111111,15.0911111111111,15.0911111111111,15.0911111111111,13.9422222222222,11.197,10.1119444444444,8.92833333333333,8.23222222222222,7.68222222222222,7.151,726.657150350163,11.2,47.545,90.277,5.23,9.71,355.2
