"sample_number","site_id","lake","site_type","sample_date","sample_type","method","result","sample_status","status","total_mc","toxin_richness","rr","yr","lr","la","dm_lr","ly","nod","lf","wr","atx","hatx","cyl","notes"
358,"BKS_LJ_BU_DD","lower jade","buoy_depth",2025-09-02,"regular","GRAB",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
359,"BKS_BL_SH_06","brooks","shore",2025-09-02,"duplicate","GRAB",TRUE,"detected","Shipped",6.590817375,2,0.101195,0,0,0,6.489622375,0,0,0,0,0,0,0,NA
360,"BKS_UB_NCOVE","upper brooks","shore",2025-09-02,"Regular","GRAB",FALSE,"not_analyzed","Collected",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,"BYS_BR_SH_01","boysen","shore",2025-09-01,"regular","GRAB",TRUE,"detected","Shipped",95.50824718,3,0,0,33.06520294,23.06285852,39.38018572,0,0,0,0,0,0,0,NA
362,"BYS_PC_SH_02","boysen","shore",2025-09-01,"regular","GRAB",TRUE,"detected","Shipped",0.983938297,1,0,0,0,0,0.983938297,0,0,0,0,0,0,0,NA
363,"BYS_FR_SH_03","boysen","shore",2025-09-01,"regular","GRAB",TRUE,"detected","Shipped",47.252046423,3,0,0,23.01434731,22.25518774,1.982511373,0,0,0,0,0,0,0,NA
364,"BYS_CR_SH_04","boysen","shore",2025-09-01,"regular","GRAB",TRUE,"detected","Shipped",15.085929929,3,0.346003488,0,3.547681161,11.19224528,0,0,0,0,0,0,0,0,NA
365,"BYS_CR_SH_04","boysen","shore",2025-09-01,"duplicate","GRAB",TRUE,"detected","Shipped",0.62959916,1,0,0,0.62959916,0,0,0,0,0,0,0,0,0,NA
366,"GRAB_BLANK","blank","blank",2025-09-01,"blank","GRAB",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
367,"BKS_BL_SH_01","brooks","shore",2025-09-16,"regular","SPATT",TRUE,"detected","Shipped",17.856616716,2,0,5.066527236,12.79008948,0,0,0,0,0,0,0,0,0,NA
368,"BKS_BL_SH_02","brooks","shore",2025-09-16,"regular","SPATT",TRUE,"detected","Shipped",0.857749518,2,0,0,0.857749518,0,0,0,0.544388707,0,0,0,0,0,NA
369,"BKS_BL_SH_03","brooks","shore",2025-09-16,"regular","SPATT",TRUE,"detected","Shipped",0.830434654,2,0,0,0.830434654,0,0,0,1.17706296,0,0,0,0,0,NA
370,"BKS_BL_SH_04","brooks","shore",2025-09-17,"regular","SPATT",TRUE,"detected","Shipped",1.627903094,2,0,0,1.627903094,0,0,0,1.857141193,0,0,0,0,0,NA
371,"BKS_BL_SH_05","brooks","shore",2025-09-17,"regular","SPATT",TRUE,"detected","Shipped",2.215329649,2,0,0,2.215329649,0,0,0,0.700344308,0,0,0,0,0,NA
372,"BKS_BL_SH_06","brooks","shore",2025-09-17,"regular","SPATT",TRUE,"detected","Shipped",1.687242281,2,0,0,1.687242281,0,0,0,0.436419445,0,0,0,0,0,NA
373,"BKS_BL_SH_07","brooks","shore",2025-09-17,"regular","SPATT",TRUE,"detected","Shipped",1.856468851,1,0,0,1.856468851,0,0,0,0,0,0,0,0,0,NA
374,"BKS_BL_BON","tributary","tributary",2025-09-17,"Regular","SPATT",FALSE,"not_analyzed","Collected",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
375,"BKS_BL_CREEK","tributary","tributary",2025-09-17,"Regular","SPATT",FALSE,"not_analyzed","Collected",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,"BKS_BL_BU_SS","brooks","buoy_surface",2025-09-17,"regular","SPATT",TRUE,"detected","Shipped",6.665369063,1,0,0,6.665369063,0,0,0,0,0,0,0,0,0,NA
