sample_number,site_id,date,sample_type,method,rr,yr,lr,la,dm_lr,ly,nod,lf,wr,atx,hatx,cyl,ng_m_l,lake,site_type,depth_category,ng_g_resin
113,BKS_RN_BU_DD,2025-07-09,regular,spatt,0.266588846,2.132104962,0,0,0,0,0,0,0,0,0,0,NA,rainbow,buoy,bottom,NA
114,BKS_LJ_BU_SS,2025-07-09,regular,spatt,0.65785868,0,0,0,0,0,0,0,0,0,0,0,NA,lower jade,buoy,surface,NA
115,BKS_LJ_BU_DD,2025-07-09,regular,spatt,0,0,0,0,0,0,0,0.455559046,0,0,0,0,NA,lower jade,buoy,bottom,NA
117,BKS_RN_SH_10,2025-07-09,duplicate,spatt,0,0.772837025,5.354394757,0,0,0,0,0,0,0,0,0,NA,rainbow,shore,NA,NA
118,BYS_BR_SH_01,2025-07-10,regular,spatt,0,0,55.21601203,0,0,0,1.474531672,0,0,0,0,0,NA,boysen,shore,NA,NA
119,BYS_PC_SH_02,2025-07-10,regular,spatt,0,0,8.355586689,0,0,0,0,0,0,0,0,0,NA,boysen,shore,NA,NA
120,BYS_FR_SH_03,2025-07-10,regular,spatt,0,0,8.087235536,0,0,0,0.492558802,0,0,0,0,0,NA,boysen,shore,NA,NA
121,BYS_CR_SH_04,2025-07-10,regular,spatt,0,0,55.33637541,0,0,0,1.229591695,0,0,0,0,0,NA,boysen,shore,NA,NA
122,BKS_RN_BU_DD,2025-07-22,regular,spatt,0,0,19.97400768,0,0,0,0.399032031,0.391932272,0,0,0,0,NA,rainbow,buoy,bottom,NA
123,BKS_LJ_BU_SS,2025-07-22,regular,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,lower jade,buoy,surface,NA
124,BKS_LJ_BU_DD,2025-07-22,regular,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,lower jade,buoy,bottom,NA
125,SPATT_BLANK,2025-07-09,blank,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,blank,NA,NA,NA
153,BKS_BL_SH_03,2025-07-21,duplicate,spatt,0,0,0,1.487297145,0,0,0,0.761789948,0,0,0,0,NA,brooks,shore,NA,NA
156,BYS_BR_SH_01,2025-07-21,regular,spatt,0,0,106.3511134,15.46049708,0,0,6.029972646,0,0,6.204989728,0,0,NA,boysen,shore,NA,NA
158,BYS_FR_SH_03,2025-07-21,regular,spatt,0,0,40.06324851,10.5322031,0,0,4.35872028,0,0,0,0,0,NA,boysen,shore,NA,NA
162,BYS_PC_SH_02,2025-07-21,duplicate,spatt,0,0,15.02648063,0,0,0,1.838971608,0,0,0,0,0,NA,boysen,shore,NA,NA
163,SPATT_BLANK,2025-07-22,blank,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,blank,NA,NA,NA
194,BKS_BL_SH_01,2025-08-04,regular,spatt,0,0,13.09198453,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
195,BKS_BL_SH_02,2025-08-04,regular,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
196,BKS_BL_SH_03,2025-08-04,regular,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
197,BKS_BL_SH_04,2025-08-04,regular,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
198,BKS_BL_SH_05,2025-08-06,regular,spatt,0,0,3.321634778,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
199,BKS_BL_SH_06,2025-08-06,regular,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
200,BKS_BL_SH_07,2025-08-06,regular,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
203,BKS_BL_BU_SS,2025-08-06,regular,spatt,0,0,5.353605489,0,0,0,0,1.098968567,0,0,0,0,NA,brooks,buoy,surface,NA
204,BKS_BL_BU_DD,2025-08-06,regular,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,buoy,bottom,NA
205,BKS_UB_SH_08,2025-08-05,regular,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,upper brooks,shore,NA,NA
206,BKS_UB_SH_09,2025-08-05,regular,spatt,0,0,2.164173117,0,0,0,0,0,0,0,0,0,NA,upper brooks,shore,NA,NA
207,BKS_UB_BU_SS,2025-08-05,regular,spatt,0,0,15.59554292,0,0,0,0,0,0,0,0,0,NA,upper brooks,buoy,surface,NA
208,BKS_UB_BU_DD,2025-08-05,regular,spatt,0,0,16.90099235,0,0,0,0,0,0,0,0,0,NA,upper brooks,buoy,bottom,NA
209,BKS_RN_SH_10,2025-08-05,regular,spatt,0,0,64.58659749,0,0,0,0,0,0,0,0,0,NA,rainbow,shore,NA,NA
210,BKS_RN_BU_SS,2025-08-05,regular,spatt,0,0,139.0548315,0,11.74691616,0,0,0,0,0,0,0,NA,rainbow,buoy,surface,NA
211,BKS_RN_BU_DD,2025-08-05,regular,spatt,0,0,63.80285427,0,6.11486511,0,0,1.130998372,0,0,0,0,NA,rainbow,buoy,bottom,NA
212,BKS_LJ_BU_SS,2025-08-05,regular,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,lower jade,buoy,surface,NA
213,BKS_LJ_BU_DD,2025-08-05,regular,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,lower jade,buoy,bottom,NA
214,BKS_RN_SH_10,2025-08-05,duplicate,spatt,0,0,153.4719972,0,12.55550441,0,0,0,0,0,0,0,NA,rainbow,shore,NA,NA
215,BYS_BR_SH_01,2025-08-04,regular,spatt,0,0,39.68203202,40.57466162,0,0,5.903717328,0,0,4.438027763,0,0,NA,boysen,shore,NA,NA
216,BYS_PC_SH_02,2025-08-04,regular,spatt,0,0,5.363865974,5.47885347,0,0,9.226887758,0,0,9.423189383,0,0,NA,boysen,shore,NA,NA
218,BYS_CR_SH_04,2025-08-04,regular,spatt,2.954285783,0,43.8742295,20.40255505,0,0,7.423440016,0,0,0,0,0,NA,boysen,shore,NA,NA
221,BYS_CR_SH_04,2025-08-04,duplicate,spatt,3.117024712,0,49.4144969,26.14685684,0,0,9.449348696,0,0,0,0,0,NA,boysen,shore,NA,NA
222,SPATT_BLANK,2025-08-07,blank,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,blank,NA,NA,NA
253,BKS_BL_SH_01,2025-08-18,regular,spatt,0,0,5.055656783,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
254,BKS_BL_SH_02,2025-08-18,regular,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
255,BKS_BL_SH_03,2025-08-18,regular,spatt,0,0,0,0,0,0,1.496078935,0,0,0,0,0,NA,brooks,shore,NA,NA
256,BKS_BL_SH_04,2025-08-20,regular,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
257,BKS_BL_SH_05,2025-08-20,regular,spatt,0.150643468,0,2.807821248,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
258,BKS_BL_SH_06,2025-08-20,regular,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
259,BKS_BL_SH_07,2025-08-20,regular,spatt,0,0,1.785324431,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
262,BKS_BL_BU_SS,2025-08-20,regular,spatt,0,0,4.027635089,0,0,0,0,0,0,0,0,0,NA,brooks,buoy,surface,NA
263,BKS_BL_BU_DD,2025-08-20,regular,spatt,0,0,0,0,0,0.797720004,0.575719593,0,0,0,0,0,NA,brooks,buoy,bottom,NA
264,BKS_UB_SH_08,2025-08-19,regular,spatt,0.2912345,0,1.9700546,0,0,0,0,2.926798512,0,0,0,0,NA,upper brooks,shore,NA,NA
265,BKS_UB_SH_09,2025-08-19,regular,spatt,0,0,1.036395007,0,0,1.198475471,1.314848976,0,0,0,0,0,NA,upper brooks,shore,NA,NA
266,BKS_UB_BU_SS,2025-08-19,regular,spatt,0,0,4.900663334,0,0,0.863248938,1.24846011,0,0,0,0,0,NA,upper brooks,buoy,surface,NA
267,BKS_UB_BU_DD,2025-08-19,regular,spatt,0,0,12.90109277,0,0,0,0.751358911,0,0,0,0,0,NA,upper brooks,buoy,bottom,NA
268,BKS_RN_SH_10,2025-08-19,regular,spatt,0,0,33.0864632,0,4.26317167,0,0,0,0,0,0,0,NA,rainbow,shore,NA,NA
269,BKS_RN_BU_SS,2025-08-19,regular,spatt,0,0,64.38086997,0,5.151332434,1.025717371,0.234923411,0,0,0,0,0,NA,rainbow,buoy,surface,NA
270,BKS_RN_BU_DD,2025-08-19,regular,spatt,0.73038022,0,31.2164939,0,0,0,0,0,0,0,0,0,NA,rainbow,buoy,bottom,NA
271,BKS_LJ_BU_SS,2025-08-19,regular,spatt,0.317613063,0,1.591483275,0,0,0,0,0,0,0,0,0,NA,lower jade,buoy,surface,NA
272,BKS_LJ_BU_DD,2025-08-19,regular,spatt,0.166252378,0,1.591483275,0,0,0,0,0,0,0,0,0,NA,lower jade,buoy,bottom,NA
312,BKS_BL_SH_01,2025-09-01,regular,spatt,0,0,1.454226465,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
313,BKS_BL_SH_02,2025-09-01,regular,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
314,BKS_BL_SH_03,2025-09-01,regular,spatt,0,0,1.331100642,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
315,BKS_BL_SH_04,2025-09-02,regular,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
316,BKS_BL_SH_05,2025-09-02,regular,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
317,BKS_BL_SH_06,2025-09-02,regular,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
318,BKS_BL_SH_07,2025-09-02,regular,spatt,0,0.867173939,4.827952938,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
321,BKS_BL_BU_SS,2025-09-02,regular,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,buoy,surface,NA
322,BKS_BL_BU_DD,2025-09-02,regular,spatt,0,0,1.46251378,0,0,0,0,0,0,0,0,0,NA,brooks,buoy,bottom,NA
324,BKS_UB_SH_09,2025-09-02,regular,spatt,0,0,2.215475543,0,0,0,0,0,0,0,0,0,NA,upper brooks,shore,NA,NA
325,BKS_UB_BU_SS,2025-09-02,regular,spatt,0,0,2.131418491,0,0,0,0,0,0,0,0,0,NA,upper brooks,buoy,surface,NA
326,BKS_UB_BU_DD,2025-09-02,regular,spatt,0,0,0,0,0,0,0,0,0,0,0,0,NA,upper brooks,buoy,bottom,NA
327,BKS_RN_SH_10,2025-09-02,regular,spatt,0,0,45.33121841,0,3.974779266,0,0,0,0,0,0,0,NA,rainbow,shore,NA,NA
328,BKS_RN_BU_SS,2025-09-02,regular,spatt,0,0,146.6890272,0,10.57312669,0,0,0,0,0,0,0,NA,rainbow,buoy,surface,NA
