sample_number,site_id,date,lake,site_type,depth_category,method,toxin_class,detected
106,BKS_BL_BU_DD,2025-07-08,brooks,buoy,bottom,spatt,anatoxin,FALSE
106,BKS_BL_BU_DD,2025-07-08,brooks,buoy,bottom,spatt,cylindrospermopsin,FALSE
106,BKS_BL_BU_DD,2025-07-08,brooks,buoy,bottom,spatt,microcystin,TRUE
106,BKS_BL_BU_DD,2025-07-08,brooks,buoy,bottom,spatt,nodularin,FALSE
107,BKS_UB_SH_08,2025-07-09,upper brooks,shore,NA,spatt,anatoxin,FALSE
107,BKS_UB_SH_08,2025-07-09,upper brooks,shore,NA,spatt,cylindrospermopsin,FALSE
107,BKS_UB_SH_08,2025-07-09,upper brooks,shore,NA,spatt,microcystin,FALSE
107,BKS_UB_SH_08,2025-07-09,upper brooks,shore,NA,spatt,nodularin,FALSE
109,BKS_UB_BU_SS,2025-07-09,upper brooks,buoy,surface,spatt,anatoxin,FALSE
109,BKS_UB_BU_SS,2025-07-09,upper brooks,buoy,surface,spatt,cylindrospermopsin,FALSE
109,BKS_UB_BU_SS,2025-07-09,upper brooks,buoy,surface,spatt,microcystin,TRUE
109,BKS_UB_BU_SS,2025-07-09,upper brooks,buoy,surface,spatt,nodularin,FALSE
110,BKS_UB_BU_DD,2025-07-09,upper brooks,buoy,bottom,spatt,anatoxin,FALSE
110,BKS_UB_BU_DD,2025-07-09,upper brooks,buoy,bottom,spatt,cylindrospermopsin,FALSE
110,BKS_UB_BU_DD,2025-07-09,upper brooks,buoy,bottom,spatt,microcystin,TRUE
110,BKS_UB_BU_DD,2025-07-09,upper brooks,buoy,bottom,spatt,nodularin,FALSE
111,BKS_RN_SH_10,2025-07-09,rainbow,shore,NA,spatt,anatoxin,FALSE
111,BKS_RN_SH_10,2025-07-09,rainbow,shore,NA,spatt,cylindrospermopsin,FALSE
111,BKS_RN_SH_10,2025-07-09,rainbow,shore,NA,spatt,microcystin,TRUE
111,BKS_RN_SH_10,2025-07-09,rainbow,shore,NA,spatt,nodularin,FALSE
112,BKS_RN_BU_SS,2025-07-09,rainbow,buoy,surface,spatt,anatoxin,FALSE
112,BKS_RN_BU_SS,2025-07-09,rainbow,buoy,surface,spatt,cylindrospermopsin,FALSE
112,BKS_RN_BU_SS,2025-07-09,rainbow,buoy,surface,spatt,microcystin,FALSE
112,BKS_RN_BU_SS,2025-07-09,rainbow,buoy,surface,spatt,nodularin,FALSE
113,BKS_RN_BU_DD,2025-07-09,rainbow,buoy,bottom,spatt,anatoxin,FALSE
113,BKS_RN_BU_DD,2025-07-09,rainbow,buoy,bottom,spatt,cylindrospermopsin,FALSE
113,BKS_RN_BU_DD,2025-07-09,rainbow,buoy,bottom,spatt,microcystin,TRUE
113,BKS_RN_BU_DD,2025-07-09,rainbow,buoy,bottom,spatt,nodularin,FALSE
114,BKS_LJ_BU_SS,2025-07-09,lower jade,buoy,surface,spatt,anatoxin,FALSE
114,BKS_LJ_BU_SS,2025-07-09,lower jade,buoy,surface,spatt,cylindrospermopsin,FALSE
114,BKS_LJ_BU_SS,2025-07-09,lower jade,buoy,surface,spatt,microcystin,TRUE
114,BKS_LJ_BU_SS,2025-07-09,lower jade,buoy,surface,spatt,nodularin,FALSE
115,BKS_LJ_BU_DD,2025-07-09,lower jade,buoy,bottom,spatt,anatoxin,FALSE
115,BKS_LJ_BU_DD,2025-07-09,lower jade,buoy,bottom,spatt,cylindrospermopsin,FALSE
115,BKS_LJ_BU_DD,2025-07-09,lower jade,buoy,bottom,spatt,microcystin,TRUE
115,BKS_LJ_BU_DD,2025-07-09,lower jade,buoy,bottom,spatt,nodularin,FALSE
118,BYS_BR_SH_01,2025-07-10,boysen,shore,NA,spatt,anatoxin,FALSE
118,BYS_BR_SH_01,2025-07-10,boysen,shore,NA,spatt,cylindrospermopsin,FALSE
118,BYS_BR_SH_01,2025-07-10,boysen,shore,NA,spatt,microcystin,TRUE
118,BYS_BR_SH_01,2025-07-10,boysen,shore,NA,spatt,nodularin,TRUE
119,BYS_PC_SH_02,2025-07-10,boysen,shore,NA,spatt,anatoxin,FALSE
119,BYS_PC_SH_02,2025-07-10,boysen,shore,NA,spatt,cylindrospermopsin,FALSE
119,BYS_PC_SH_02,2025-07-10,boysen,shore,NA,spatt,microcystin,TRUE
119,BYS_PC_SH_02,2025-07-10,boysen,shore,NA,spatt,nodularin,FALSE
120,BYS_FR_SH_03,2025-07-10,boysen,shore,NA,spatt,anatoxin,FALSE
120,BYS_FR_SH_03,2025-07-10,boysen,shore,NA,spatt,cylindrospermopsin,FALSE
120,BYS_FR_SH_03,2025-07-10,boysen,shore,NA,spatt,microcystin,TRUE
120,BYS_FR_SH_03,2025-07-10,boysen,shore,NA,spatt,nodularin,TRUE
121,BYS_CR_SH_04,2025-07-10,boysen,shore,NA,spatt,anatoxin,FALSE
121,BYS_CR_SH_04,2025-07-10,boysen,shore,NA,spatt,cylindrospermopsin,FALSE
121,BYS_CR_SH_04,2025-07-10,boysen,shore,NA,spatt,microcystin,TRUE
121,BYS_CR_SH_04,2025-07-10,boysen,shore,NA,spatt,nodularin,TRUE
122,BKS_RN_BU_DD,2025-07-22,rainbow,buoy,bottom,spatt,anatoxin,FALSE
122,BKS_RN_BU_DD,2025-07-22,rainbow,buoy,bottom,spatt,cylindrospermopsin,FALSE
122,BKS_RN_BU_DD,2025-07-22,rainbow,buoy,bottom,spatt,microcystin,TRUE
122,BKS_RN_BU_DD,2025-07-22,rainbow,buoy,bottom,spatt,nodularin,TRUE
123,BKS_LJ_BU_SS,2025-07-22,lower jade,buoy,surface,spatt,anatoxin,FALSE
123,BKS_LJ_BU_SS,2025-07-22,lower jade,buoy,surface,spatt,cylindrospermopsin,FALSE
123,BKS_LJ_BU_SS,2025-07-22,lower jade,buoy,surface,spatt,microcystin,FALSE
123,BKS_LJ_BU_SS,2025-07-22,lower jade,buoy,surface,spatt,nodularin,FALSE
124,BKS_LJ_BU_DD,2025-07-22,lower jade,buoy,bottom,spatt,anatoxin,FALSE
124,BKS_LJ_BU_DD,2025-07-22,lower jade,buoy,bottom,spatt,cylindrospermopsin,FALSE
124,BKS_LJ_BU_DD,2025-07-22,lower jade,buoy,bottom,spatt,microcystin,FALSE
124,BKS_LJ_BU_DD,2025-07-22,lower jade,buoy,bottom,spatt,nodularin,FALSE
156,BYS_BR_SH_01,2025-07-21,boysen,shore,NA,spatt,anatoxin,TRUE
156,BYS_BR_SH_01,2025-07-21,boysen,shore,NA,spatt,cylindrospermopsin,FALSE
156,BYS_BR_SH_01,2025-07-21,boysen,shore,NA,spatt,microcystin,TRUE
156,BYS_BR_SH_01,2025-07-21,boysen,shore,NA,spatt,nodularin,TRUE
