MiniDOT Logger Concatenated Data File
Sensor:             7450-987229
Concatenation Date: 2025Oct27 13:40:12 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1750863180,           2025-06-25 14:53:00,           2025-06-25 08:53:00,      3.500000,      4.557000,          0.150000,                     1.161201,      0.977000
                1750863780,           2025-06-25 15:03:00,           2025-06-25 09:03:00,      3.500000,      4.557000,          0.180000,                     1.393441,      0.978000
                1750864380,           2025-06-25 15:13:00,           2025-06-25 09:13:00,      3.500000,      4.557000,          0.135000,                     1.045081,      0.977000
                1750864980,           2025-06-25 15:23:00,           2025-06-25 09:23:00,      3.500000,      4.546000,          0.097000,                     0.750695,      0.977000
                1750865580,           2025-06-25 15:33:00,           2025-06-25 09:33:00,      3.500000,      4.577000,          0.080000,                     0.619630,      0.977000
                1750866180,           2025-06-25 15:43:00,           2025-06-25 09:43:00,      3.500000,      4.557000,          0.086000,                     0.665755,      0.977000
                1750866780,           2025-06-25 15:53:00,           2025-06-25 09:53:00,      3.500000,      4.557000,          0.084000,                     0.650272,      0.976000
                1750867380,           2025-06-25 16:03:00,           2025-06-25 10:03:00,      3.500000,      4.577000,          0.077000,                     0.596394,      0.977000
                1750867980,           2025-06-25 16:13:00,           2025-06-25 10:13:00,      3.500000,      4.567000,          0.122000,                     0.944689,      0.977000
                1750868580,           2025-06-25 16:23:00,           2025-06-25 10:23:00,      3.500000,      4.546000,          0.196000,                     1.516868,      0.978000
                1750869180,           2025-06-25 16:33:00,           2025-06-25 10:33:00,      3.500000,      4.567000,          0.140000,                     1.084070,      0.977000
                1750869780,           2025-06-25 16:43:00,           2025-06-25 10:43:00,      3.500000,      4.577000,          0.117000,                     0.906208,      0.977000
                1750870380,           2025-06-25 16:53:00,           2025-06-25 10:53:00,      3.500000,      4.567000,          0.097000,                     0.751105,      0.977000
                1750870980,           2025-06-25 17:03:00,           2025-06-25 11:03:00,      3.500000,      4.567000,          0.094000,                     0.727875,      0.977000
