date,wind_speed_mean_ms,wind_speed_max_ms,gust_speed_max_ms,wind_from_mean_deg,wind_from_mean,wind_to_mean_deg,wind_to_mean,dominant_wind_from,dominant_wind_to
2025-07-16,1.1323461111111113,4.3407584,7.6801471999999995,178.38173531173516,S,358.38173531173516,N,SE,NW
2025-07-17,1.1406039333333333,4.3407584,9.678415999999999,242.71320838770674,SW,62.71320838770674,NE,W,E
2025-07-18,1.212533911111111,4.0099488,9.3520768,278.0150912895516,W,98.0150912895516,E,NW,SE
2025-07-19,1.1041888,5.6818784,11.3503456,256.34242374845456,W,76.34242374845456,E,SW,NE
2025-07-20,1.259038488888889,3.6701984000000003,10.348975999999999,243.63466186501716,SW,63.634661865017165,NE,SW,NE
2025-07-21,1.0342146222222224,3.3393888,8.3507072,209.74171678157347,SW,29.741716781573473,NE,SW,NE
2025-07-22,1.1875741777777777,3.0085792000000002,9.3520768,245.65601187962125,SW,65.65601187962125,NE,SW,NE
2025-07-23,1.3311857777777778,4.0099488,10.0181664,271.21749437023016,W,91.21749437023016,E,NW,SE
2025-07-24,1.133029088888889,3.3393888,8.6815168,221.1730137561149,SW,41.17301375611487,NE,NW,SE
2025-07-25,0.9967439777777778,3.3393888,8.6815168,237.97605185843275,SW,57.976051858432754,NE,SW,NE
2025-07-26,0.8253476000000001,4.6805088,11.3503456,220.6828258186674,SW,40.682825818667425,NE,SW,NE
2025-07-27,0.8810413333333333,3.3393888,8.6815168,211.49075740635155,SW,31.490757406351577,NE,S,N
2025-07-28,0.8874054444444445,3.3393888,7.6801471999999995,206.18554597369626,SW,26.185545973696264,NE,S,N
2025-07-29,0.9253728,2.3380192,6.0082176,160.2942765559361,S,340.2942765559361,N,SE,NW
2025-07-30,1.5360791111111112,3.0085792000000002,7.0095871999999995,183.86011117195795,S,3.8601111719579535,N,S,N
2025-07-31,1.2568653777777778,3.0085792000000002,8.0198976,176.1072318621343,S,356.1072318621343,N,SW,NE
2025-08-01,1.1241503777777777,4.0099488,10.0181664,207.0331497547751,SW,27.03314975477508,NE,S,N
2025-08-02,0.8744599111111111,3.0085792000000002,8.0198976,234.03926304366513,SW,54.03926304366513,NE,SW,NE
